type,obs,id,SMean,Sstdev,A,B,C,"A:absolute(individual measurement a,b,c -mean)/mean","B:absolute(individual measurement a,b,c -mean)/mean","C:absolute(individual measurement a,b,c -mean)/mean",sum(abc)/3,,,,
SL,37,18,44.84666667,0.874604673,43.84,45.28,45.42,0.022446856,0.009662554,0.012784302,0.014964571,,,,
SL,38,75,48.90666667,1.247089946,48.07,48.31,50.34,0.017107415,0.012200109,0.029307525,0.01953835,,,,
SL,39,7,49.42666667,1.015299627,48.26,49.91,50.11,0.023603992,0.009778797,0.013825196,0.015735995,,,,
SL,40,69,49.93,0.84610874,49.88,49.11,50.8,0.001001402,0.016422992,0.017424394,0.011616263,,,,
SL,41,16,45.85666667,1.017906348,44.73,46.71,46.13,0.02456931,0.018608708,0.005960602,0.01637954,,,,
SL,42,22,45.76666667,1.125181467,44.53,46.73,46.04,0.027021122,0.021048798,0.005972323,0.018014081,,,,
SL,43,77,52.33666667,1.429557041,51.65,51.38,53.98,0.013120183,0.018279091,0.031399274,0.020932849,,,,
SL,44,9,47.25333333,0.777453107,46.38,47.51,47.87,0.018481941,0.005431716,0.013050226,0.012321294,,,,
SL,45,46,51.82,1.082912739,51.4,53.05,51.01,0.008104979,0.023736009,0.01563103,0.015824006,,,,
SL,46,32,47.36333333,0.75725381,46.54,47.52,48.03,0.017383349,0.003307763,0.014075586,0.011588899,,,,
SL,47,57,48.86666667,0.205507502,48.63,49,48.97,0.004843111,0.002728513,0.002114598,0.00322874,,,,
SL,48,15,50.98666667,1.205003458,50.86,52.25,49.85,0.00248431,0.02477772,0.02229341,0.01651848,,,,
SL,49,91,49,0.345108679,48.99,48.66,49.35,0.000204082,0.006938776,0.007142857,0.004761905,,,,
SL,50,60,48.49666667,0.830501856,48.11,47.93,49.45,0.007973057,0.011684652,0.019657708,0.013105139,,,,
SL,51,55,49.95,0.750199973,49.19,50.69,49.97,0.015215215,0.014814815,0.0004004,0.010143477,,,,
SL,52,10,50.59333333,0.960277738,49.5,51.3,50.98,0.021610225,0.013967585,0.007642641,0.014406817,,,,
SL,53,12,48.15666667,0.853600219,47.18,48.53,48.76,0.020281027,0.007752475,0.012528553,0.013520685,,,,
SL,54,85,48.50666667,0.418608807,48.57,48.06,48.89,0.001305662,0.009208356,0.007902694,0.006138904,,,,
SL,55,1,50.15666667,1.297009381,48.77,51.34,50.36,0.027646707,0.023592743,0.004053964,0.018431138,,,,
SL,56,50,47.56,1.117273467,46.3,48.43,47.95,0.026492851,0.018292683,0.008200168,0.017661901,,,,
SL,57,89,49.39333333,0.785005308,48.61,49.39,50.18,0.01585909,6.74855E-05,0.015926576,0.010617717,,,,
SL,58,96,49.55,0.42,49.55,49.13,49.97,0,0.008476287,0.008476287,0.005650858,,,,
SL,59,2,46.97333333,1.757621499,45.09,48.57,47.26,0.04009367,0.033990917,0.006102753,0.026729113,,,,
SL,60,64,48.73666667,0.39715656,48.29,48.87,49.05,0.0091649,0.002735791,0.006429109,0.006109933,,,,
SL,61,36,48.49333333,0.176162803,48.59,48.29,48.6,0.001993401,0.004193016,0.002199615,0.002795344,,,,
SL,62,56,51.16,0.14106736,51.01,51.18,51.29,0.002931978,0.00039093,0.002541048,0.001954652,,,,
SL,63,88,49.24333333,0.552479261,48.89,49.88,48.96,0.007175252,0.012928992,0.00575374,0.008619328,,,,
SL,64,76,48.31,1.009554357,47.19,49.15,48.59,0.023183606,0.017387704,0.005795901,0.015455737,,,,
SL,65,80,49.53,0.634113554,50.24,49.02,49.33,0.014334747,0.01029679,0.004037957,0.009556498,,,,
SL,66,63,48.93,0.849646986,48.4,48.48,49.91,0.010831801,0.009196812,0.020028612,0.013352408,,,,
SL,67,24,53.93666667,0.361155553,53.53,54.22,54.06,0.007539707,0.005253075,0.002286632,0.005026471,,,,
SL,68,17,48.72666667,0.418608807,48.28,49.11,48.79,0.009166781,0.007867013,0.001299767,0.006111187,,,,
SL,69,79,49.65666667,1.010016502,48.93,49.23,50.81,0.014633819,0.008592334,0.023226153,0.015484102,,,,
SL,70,58,50.98,1.174776575,50.42,50.19,52.33,0.0109847,0.015496273,0.026480973,0.017653982,,,,
SL,71,21,52.57666667,0.850019608,51.73,53.43,52.57,0.016103468,0.016230267,0.000126799,0.010820178,,,,
SL,72,11,52.71333333,1.146138444,51.39,53.36,53.39,0.025104338,0.012267611,0.012836727,0.016736225,,,,
SL,73,20,48.88333333,0.764874717,48.71,49.72,48.22,0.003545857,0.017115581,0.013569724,0.011410388,,,,
SL,74,59,51.84333333,1.08029317,51.55,53.04,50.94,0.005658072,0.023082364,0.017424291,0.015388242,,,,
SL,75,99,51.49,0.551089829,51.53,50.92,52.02,0.00077685,0.011070111,0.010293261,0.007380074,,,,
SL,76,4,54.38333333,0.591636149,53.71,54.62,54.82,0.012381244,0.004351823,0.008029421,0.008254163,,,,
SL,77,48,50.93333333,0.555097589,50.34,51.44,51.02,0.011649215,0.009947644,0.001701571,0.007766143,,,,
SL,78,49,53.37333333,0.430967903,53.82,52.96,53.34,0.008368723,0.007744192,0.000624532,0.005579149,,,,
SL,79,98,51.03666667,0.563234705,50.39,51.3,51.42,0.012670629,0.005159689,0.00751094,0.008447086,,,,
SL,80,52,52.94,0.886622806,53.63,51.94,53.25,0.013033623,0.018889309,0.005855686,0.012592872,,,,
SL,81,30,55.22,0.523067873,55.58,55.46,54.62,0.006519377,0.004346251,0.010865628,0.007243752,,,,
SL,82,41,52.00666667,1.279856763,51.37,53.48,51.17,0.01224202,0.028329701,0.016087681,0.018886468,,,,
SL,83,37,53.06666667,0.957305246,52.15,52.99,54.06,0.017273869,0.001444724,0.018718593,0.012479062,,,,
SL,84,5,53.14666667,1.132269108,51.85,53.94,53.65,0.024397893,0.014927245,0.009470647,0.016265262,,,,
SL,85,39,55.97,0.890168523,54.95,56.59,56.37,0.018224049,0.011077363,0.007146686,0.012149366,,,,
SL,86,26,59.00333333,0.205020324,58.88,58.89,59.24,0.002090277,0.001920795,0.004011073,0.002674049,,,,
SL,87,74,55.53666667,0.720370275,55.87,54.71,56.03,0.006002041,0.014885061,0.00888302,0.009923374,,,,
SL,88,70,57.06666667,1.492793801,57.79,55.35,58.06,0.012675234,0.030081776,0.017406542,0.020054517,,,,
SL,89,67,59.89,1.088622983,59.38,59.15,61.14,0.008515612,0.012355986,0.020871598,0.013914399,,,,
SL,90,54,60.50333333,0.65454819,59.96,60.32,61.23,0.008980221,0.003030136,0.012010358,0.008006905,,,,
SL,91,68,58.83,2.464467488,59.23,56.19,61.07,0.006799252,0.044875064,0.038075812,0.029916709,,,,
SL,92,47,60.35,0.906200861,59.73,59.93,61.39,0.010273405,0.006959403,0.017232809,0.011488539,,,,
SL,93,62,62.71666667,0.805253583,62.74,61.9,63.51,0.000372044,0.013021525,0.012649482,0.008681017,,,,
SL,94,66,61.24333333,1.023197602,60.07,61.71,61.95,0.019158548,0.007619877,0.011538671,0.012772365,,,,
SL,95,31,64.41333333,0.918168467,63.81,63.96,65.47,0.009366591,0.00703788,0.016404471,0.010936314,,,,
SL,96,43,63.10333333,0.757385855,62.23,63.58,63.5,0.013839734,0.007553748,0.006285986,0.009226489,,,,
SL,97,65,65.32666667,0.366105631,64.92,65.43,65.63,0.006225125,0.001581794,0.004643331,0.004150083,,,,
SL,98,61,62.31333333,0.693421469,61.73,62.13,63.08,0.009361292,0.00294212,0.012303413,0.008202275,,,,
SL,99,72,69.98666667,0.621154838,69.27,70.37,70.32,0.010240046,0.005477234,0.004762812,0.006826697,1.157188236,,,
UJ,1,23,53.93,0.632218317,53.36,54.61,53.82,0.010569256,0.012608938,0.002039681,0.008405958,,,,
UJ,2,83,52.85333333,1.322963844,51.65,52.64,54.27,0.022767407,0.004036327,0.026803734,0.017869156,,,,
UJ,3,71,55.34,1.818433392,56.68,53.27,56.07,0.02421395,0.037405132,0.013191182,0.024936755,,,,
UJ,4,53,55.62,0.20880613,55.48,55.86,55.52,0.00251708,0.004314995,0.001797914,0.002876663,,,,
UJ,5,6,60.36666667,0.574572305,60.14,61.02,59.94,0.003754832,0.01082275,0.007067918,0.007215167,,,,
UJ,6,19,57.51333333,1.007587879,56.61,58.6,57.33,0.015706503,0.018894169,0.003187667,0.012596113,,,,
UJ,7,33,56.82333333,0.884439559,55.81,57.44,57.22,0.01783305,0.010852349,0.0069807,0.0118887,,,,
UJ,8,45,61.87,2.215287792,59.52,63.92,62.17,0.037982867,0.033133991,0.004848877,0.025321912,,,,
UJ,9,78,57.55333333,0.713886079,56.73,58,57.93,0.014305572,0.007760917,0.006544654,0.009537048,,,,
UJ,10,86,57.41,0.714212853,56.62,57.6,58.01,0.013760669,0.003309528,0.010451141,0.009173779,,,,
UJ,11,38,56.16333333,0.990168336,55.12,56.28,57.09,0.01857677,0.002077275,0.016499496,0.012384513,,,,
UJ,12,27,59.26333333,0.688791212,59.39,58.52,59.88,0.002137353,0.012542888,0.010405535,0.008361925,,,,
UJ,13,95,56.10666667,0.927918818,55.41,55.75,57.16,0.012416825,0.006356939,0.018773764,0.012515843,,,,
UJ,14,34,60.58,0.987724658,59.98,61.72,60.04,0.009904259,0.018818092,0.008913833,0.012545395,,,,
